iter	Logloss
0	0.662443297
1	0.6340251701
2	0.6075942262
3	0.5846251313
4	0.5632463467
5	0.5441955636
6	0.5265113559
7	0.5124581301
8	0.4978833317
9	0.484123656
10	0.472121659
11	0.4598488715
12	0.4499610998
13	0.4403982691
14	0.4313678572
15	0.4226101394
16	0.4155818356
17	0.40794858
18	0.4013567363
19	0.3950532459
20	0.3894564433
21	0.3846352535
22	0.3796523997
23	0.3754150354
24	0.3721325376
25	0.3678716659
26	0.3638757296
27	0.3600205505
28	0.3564019552
29	0.3532272487
30	0.3501831024
31	0.3476443311
32	0.3456386358
33	0.3432369144
34	0.3406510572
35	0.3386900095
36	0.3360840021
37	0.3343991166
38	0.3329133318
39	0.3307909639
40	0.3287171943
41	0.3269929556
42	0.3255417023
43	0.3241392367
44	0.3228042209
45	0.3215251839
46	0.3203674524
47	0.318710382
48	0.3172598325
49	0.3161302626
50	0.3147925904
51	0.3137956334
52	0.3124544437
53	0.3112612315
54	0.3107222391
55	0.3099499708
56	0.3091701067
57	0.3082457057
58	0.3075256055
59	0.3067836057
60	0.3060567716
61	0.3048791747
62	0.3035113293
63	0.3020102157
64	0.3014614095
65	0.3007655734
66	0.3001037315
67	0.2996021756
68	0.2991935671
69	0.2983391708
70	0.2977846485
71	0.2970990257
72	0.2960775965
73	0.2956453957
74	0.2951040822
75	0.294229899
76	0.2938213657
77	0.2930906216
78	0.2924701058
79	0.291795644
80	0.2912162178
81	0.2907562101
82	0.2900343233
83	0.2895937206
84	0.2892144796
85	0.288445498
86	0.288095573
87	0.2875870864
88	0.2871246856
89	0.2866718881
90	0.2862214705
91	0.2854621453
92	0.285070717
93	0.2842435978
94	0.2838662361
95	0.2832308372
96	0.2827424951
97	0.2824909165
98	0.2820894074
99	0.2817661783
100	0.2814097152
101	0.2807922483
102	0.2803314382
103	0.2799299232
104	0.2795739633
105	0.279291803
106	0.2788269337
107	0.2783066143
108	0.277825341
109	0.2774995668
110	0.2772177065
111	0.2764546223
112	0.2761641035
113	0.2759411101
114	0.2755248042
115	0.2749163304
116	0.2746050228
117	0.273958774
118	0.2736413179
119	0.2732529697
120	0.2726748322
121	0.2724578649
122	0.2721308781
123	0.2717616583
124	0.2713695386
125	0.2708215211
126	0.2704524383
127	0.2699841979
128	0.269544446
129	0.2693106864
130	0.2689844884
131	0.2686687247
132	0.2683229616
133	0.2680720127
134	0.2678654492
135	0.2676455256
136	0.267424477
137	0.2670956
138	0.2668049568
139	0.266539898
140	0.2662664843
141	0.2660379101
142	0.2658423852
143	0.2656181683
144	0.2652336305
145	0.2648338041
146	0.2646283269
147	0.264354585
148	0.2640073702
149	0.2635561062
150	0.2633003812
151	0.2630071941
152	0.2627949545
153	0.262623082
154	0.2623488135
155	0.2620858384
156	0.2617903514
157	0.2610699837
